,,,,,,,,,,,,
Month,Day,Hour,SITE CONSUMPTION Grid supply (kWh),SITE CONSUMPTION Natural Gas (kWh),ONSITE SOLAR SYSTEM PRODUCTION (kWh),GRID (EEX) Price (€/MWh),NG (TTF) Price (€/MWh),Demand,PV generation,Energy not covered,Cost of NG,cost of Grid
TOTAL kWh/yr,,," 8,423,380 "," 1,684,676 "," 1,293,527 ", 68.09 , 34.23 ," 10,108,056 "," 1,293,527 "," 8,814,529 "," 57,664 "," 574,322 "
1,1,1,224.0,44.8,0.0,-1.2,0.6,268.8,0.0,268.8,0.02744,-0.2744
1,1,2,280.0,56.0,0.0,-1.0,0.5,336.0,0.0,336.0,0.028616,-0.28616
1,1,3,323.8,64.8,0.0,-3.7,1.8,388.5,0.0,388.5,0.119431375,-1.19431375
1,1,4,262.5,52.5,0.0,-3.1,1.5,315.0,0.0,315.0,0.08103375,-0.8103375
1,1,5,287.0,57.4,0.0,-3.8,1.9,344.4,0.0,344.4,0.108486,-1.08486
1,1,6,234.5,46.9,0.0,-3.3,1.6,281.4,0.0,281.4,0.07698635,-0.7698635
1,1,7,353.5,70.7,0.0,-0.9,0.5,424.2,0.0,424.2,0.03241595,-0.3241595
1,1,8,236.3,47.3,0.0,-1.1,0.5,283.5,0.0,283.5,0.025963875,-0.25963875
1,1,9,299.3,59.9,0.0,-0.7,0.4,359.1,0.0,359.1,0.021575925,-0.21575925
1,1,10,302.8,60.6,10.6,-0.2,0.1,363.3,10.6,352.7,0.004874275,-0.04874275
1,1,11,283.5,56.7,30.6,-0.5,0.3,340.2,30.6,309.6,0.0146853,-0.146853
1,1,12,253.8,50.8,80.1,-0.4,0.2,304.5,80.1,224.4,0.010124625,-0.10124625
1,1,13,225.8,45.2,245.5,-0.1,0.0,270.9,245.5,25.4,0.0018963,-0.018963
1,1,14,257.3,51.5,260.2,0.6,0.3,308.7,260.2,48.5,0.015306375,0.15306375
1,1,15,358.8,71.8,133.0,16.5,8.2,430.5,133.0,297.5,0.59014375,5.9014375
