Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Belgium,Belgium,BE,99.07,135.33,81.05,35.32,entsoe.eu
2023-01-02 00:00:00,Belgium,Belgium,BE,116.89,159.68,77.54,26.90,entsoe.eu
2023-01-03 00:00:00,Belgium,Belgium,BE,115.05,158.97,77.01,32.88,entsoe.eu
2023-01-04 00:00:00,Belgium,Belgium,BE,119.62,162.14,77.67,41.45,entsoe.eu
2023-01-05 00:00:00,Belgium,Belgium,BE,116.63,160.97,76.08,34.33,entsoe.eu
2023-01-06 00:00:00,Belgium,Belgium,BE,115.46,157.33,78.01,35.21,entsoe.eu
2023-01-07 00:00:00,Belgium,Belgium,BE,101.03,138.29,80.52,39.51,entsoe.eu
2023-01-08 00:00:00,Belgium,Belgium,BE,93.01,128.40,81.90,37.44,entsoe.eu
2023-01-09 00:00:00,Belgium,Belgium,BE,102.88,139.09,80.42,36.61,entsoe.eu
2023-01-10 00:00:00,Belgium,Belgium,BE,121.03,161.28,77.02,36.86,entsoe.eu
2023-01-11 00:00:00,Belgium,Belgium,BE,115.29,154.65,78.93,41.04,entsoe.eu
2023-01-12 00:00:00,Belgium,Belgium,BE,119.76,162.16,78.13,41.05,entsoe.eu
2023-01-13 00:00:00,Belgium,Belgium,BE,114.65,156.72,78.65,41.51,entsoe.eu
2023-01-14 00:00:00,Belgium,Belgium,BE,110.08,151.07,79.44,39.89,entsoe.eu
2023-01-15 00:00:00,Belgium,Belgium,BE,107.33,147.60,80.13,40.79,entsoe.eu
2023-01-16 00:00:00,Belgium,Belgium,BE,123.87,167.31,77.85,37.62,entsoe.eu
2023-01-17 00:00:00,Belgium,Belgium,BE,190.41,253.13,60.31,20.42,entsoe.eu
2023-01-18 00:00:00,Belgium,Belgium,BE,180.88,240.76,62.00,26.87,entsoe.eu
2023-01-19 00:00:00,Belgium,Belgium,BE,207.51,271.95,57.65,22.73,entsoe.eu
2023-01-20 00:00:00,Belgium,Belgium,BE,182.71,245.04,59.20,22.67,entsoe.eu
2023-01-21 00:00:00,Belgium,Belgium,BE,190.98,251.87,62.18,20.32,entsoe.eu
2023-01-22 00:00:00,Belgium,Belgium,BE,192.63,252.53,62.31,21.02,entsoe.eu
2023-01-23 00:00:00,Belgium,Belgium,BE,211.25,280.90,53.00,13.63,entsoe.eu
2023-01-24 00:00:00,Belgium,Belgium,BE,211.94,283.28,51.51,12.07,entsoe.eu
2023-01-25 00:00:00,Belgium,Belgium,BE,219.30,290.88,50.88,11.38,entsoe.eu
2023-01-26 00:00:00,Belgium,Belgium,BE,186.51,249.85,57.95,22.53,entsoe.eu
2023-01-27 00:00:00,Belgium,Belgium,BE,190.25,253.90,57.73,20.82,entsoe.eu
2023-01-28 00:00:00,Belgium,Belgium,BE,208.09,276.94,54.25,12.71,entsoe.eu
2023-01-29 00:00:00,Belgium,Belgium,BE,159.13,214.48,66.84,28.33,entsoe.eu
2023-01-30 00:00:00,Belgium,Belgium,BE,147.53,200.04,69.11,33.51,entsoe.eu
2023-01-31 00:00:00,Belgium,Belgium,BE,148.09,200.31,69.39,34.02,entsoe.eu
2023-02-01 00:00:00,Belgium,Belgium,BE,134.14,182.57,73.92,44.32,entsoe.eu
2023-02-02 00:00:00,Belgium,Belgium,BE,144.67,196.92,70.23,38.65,entsoe.eu
2023-02-03 00:00:00,Belgium,Belgium,BE,153.82,206.73,69.59,38.50,entsoe.eu
2023-02-04 00:00:00,Belgium,Belgium,BE,177.42,238.44,63.71,17.87,entsoe.eu
2023-02-05 00:00:00,Belgium,Belgium,BE,136.32,186.35,73.43,36.43,entsoe.eu
2023-02-06 00:00:00,Belgium,Belgium,BE,171.03,233.15,61.88,18.82,entsoe.eu
2023-02-07 00:00:00,Belgium,Belgium,BE,211.76,284.55,51.79,17.29,entsoe.eu
2023-02-08 00:00:00,Belgium,Belgium,BE,202.30,272.15,55.02,20.36,entsoe.eu
2023-02-09 00:00:00,Belgium,Belgium,BE,205.59,274.82,54.96,22.28,entsoe.eu
2023-02-10 00:00:00,Belgium,Belgium,BE,181.36,244.96,60.58,25.77,entsoe.eu
2023-02-11 00:00:00,Belgium,Belgium,BE,186.34,251.45,59.88,21.50,entsoe.eu
2023-02-12 00:00:00,Belgium,Belgium,BE,200.32,265.12,60.22,16.11,entsoe.eu
2023-02-13 00:00:00,Belgium,Belgium,BE,210.39,282.89,52.22,17.66,entsoe.eu
2023-02-14 00:00:00,Belgium,Belgium,BE,207.36,279.88,52.70,17.70,entsoe.eu
2023-02-15 00:00:00,Belgium,Belgium,BE,185.26,250.48,59.32,24.88,entsoe.eu
2023-02-16 00:00:00,Belgium,Belgium,BE,170.50,227.03,66.13,35.13,entsoe.eu
2023-02-17 00:00:00,Belgium,Belgium,BE,129.55,177.56,74.61,42.81,entsoe.eu
2023-02-18 00:00:00,Belgium,Belgium,BE,135.58,185.28,73.76,42.99,entsoe.eu
2023-02-19 00:00:00,Belgium,Belgium,BE,137.91,188.01,73.09,33.48,entsoe.eu
