Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Belgium,Belgium,BE,119.45,160.02,77.01,40.16,entsoe.eu,false,
2023-01-01 01:00:00,Belgium,Belgium,BE,118.93,159.32,77.59,40.18,entsoe.eu,false,
2023-01-01 02:00:00,Belgium,Belgium,BE,116.98,156.88,78.01,38.71,entsoe.eu,false,
2023-01-01 03:00:00,Belgium,Belgium,BE,116.85,156.97,78.16,39.46,entsoe.eu,false,
2023-01-01 04:00:00,Belgium,Belgium,BE,113.24,152.68,78.21,37.94,entsoe.eu,false,
2023-01-01 05:00:00,Belgium,Belgium,BE,111.09,150.14,78.67,38.47,entsoe.eu,false,
2023-01-01 06:00:00,Belgium,Belgium,BE,110.26,148.91,78.61,38.42,entsoe.eu,false,
2023-01-01 07:00:00,Belgium,Belgium,BE,106.09,143.91,79.31,38.88,entsoe.eu,false,
2023-01-01 08:00:00,Belgium,Belgium,BE,103.11,140.84,79.6,37.6,entsoe.eu,false,
2023-01-01 09:00:00,Belgium,Belgium,BE,100.92,138.85,80.77,39.24,entsoe.eu,false,
2023-01-01 10:00:00,Belgium,Belgium,BE,99.44,137.93,80.63,37.77,entsoe.eu,false,
2023-01-01 11:00:00,Belgium,Belgium,BE,95.19,132.99,81.35,38.24,entsoe.eu,false,
2023-01-01 12:00:00,Belgium,Belgium,BE,94.19,130.49,82.17,38.86,entsoe.eu,false,
2023-01-01 13:00:00,Belgium,Belgium,BE,90.79,126.41,82.54,36.52,entsoe.eu,false,
2023-01-01 14:00:00,Belgium,Belgium,BE,88.54,123.15,82.76,32.27,entsoe.eu,false,
2023-01-01 15:00:00,Belgium,Belgium,BE,81.49,114.45,83.51,28.25,entsoe.eu,false,
2023-01-01 16:00:00,Belgium,Belgium,BE,80.59,110.93,85.1,32.63,entsoe.eu,false,
2023-01-01 17:00:00,Belgium,Belgium,BE,79.67,110.1,85.09,33.56,entsoe.eu,false,
2023-01-01 18:00:00,Belgium,Belgium,BE,87.98,119.76,83.69,30.01,entsoe.eu,false,
2023-01-01 19:00:00,Belgium,Belgium,BE,85.66,117.09,84.05,30.29,entsoe.eu,false,
2023-01-01 20:00:00,Belgium,Belgium,BE,80.39,113.15,83.54,27.63,entsoe.eu,false,
2023-01-01 21:00:00,Belgium,Belgium,BE,87.02,120.9,82.39,29.41,entsoe.eu,false,
